comapany,skills,more_info
wartsila india private ltd,"qa, automation, expertise, python, scripting, skills, performance, benchmarking, agile, environment, experience, cloud, technology, knowledge, storage, bug, fixing, docker, sql, java, git, linux, api, rest, information, management, infrastructure",https://www.timesjobs.com/job-detail/lead-senior-software-qa-engineer-job-details-wrtsil-wartsila-india-private-ltd-navi-mumbai-5-to-8-yrs-jobid-hZKKJRnfZmRzpSvf__PLUS__uAgZw==&source=srp
radical technologies,"android, development, java, programming, kotlin, proficiency, oops, concepts, database, management, dbms, sql, security, xml, json, perl, python, rdbms, os, windows, phone, mobile, ruby, software, developer, soap",https://www.timesjobs.com/job-detail/job-opening-for-android-developer-job-code-rt-1351-radical-technologies-pune-0-to-1-yrs-jobid-yBwmzdcL6UtzpSvf__PLUS__uAgZw==&source=srp
accenture,"data, engineering, big, data, technologies, software, development, sql, proficiency, aws, experience, hive, scala, security, java, software, engineering, shell, scripting, hadoop, technical, skills, python, github",https://www.timesjobs.com/job-detail/application-developer-accenture-bengaluru-bangalore-5-to-7-yrs-jobid-0hHO6rSNsppzpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"automated, test, programming, data, analysis, techniques, statistical, tool, development, machine, learning, integration, hardware, vendor, coordination, c, artificial, intelligence, debugging, perl, python, problem, solving, vb, computer, graphics",https://www.timesjobs.com/job-detail/product-test-engineer-nvidia-graphics-pvt-ltd-3-to-5-yrs-jobid-fToyc6EJs__SLASH__lzpSvf__PLUS__uAgZw==&source=srp
cvent india pvt ltd,"site, reliability, engineering, aws, management, build, automation, configuration, management, software, development, docker, java, linux, administration, devops, couchbase, mongodb, python, windows, ruby, nosql, splunk",https://www.timesjobs.com/job-detail/lead-site-reliability-engineer-cvent-india-pvt-ltd-bengaluru-bangalore-5-to-9-yrs-jobid-4unzW8pwYAFzpSvf__PLUS__uAgZw==&source=srp
Edifecs,"data, integration, database, systems, python, linux, system, shell, scripting, artificial, intelligence, docker, git, postgresql, iam, big, data, natural, language, processing, machine, learning",https://www.timesjobs.com/job-detail/sr-data-integrations-engineer-edifecs-atlanta-3-to-5-yrs-jobid-wvKBAnOmJx5zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"cloud, infrastructure, expertise, big, data, technologies, programming, languages, proficiency, data, architecture, design, troubleshooting, skills, security, java, hadoop, python, oracle, solution, architect, nosql",https://www.timesjobs.com/job-detail/principal-data-services-solution-architect-oracle-dubai-6-to-10-yrs-jobid-zhkF3enLwn9zpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"problem, solving, skills, technical, troubleshooting, data, analysis, skills, communication, skills, team, collaboration, c, linux, debugging, perl, python, messaging, computer, graphics, written, communication",https://www.timesjobs.com/job-detail/test-floor-engineer-nvidia-graphics-pvt-ltd-south-korea-5-to-9-yrs-jobid-crO5M3WmEmVzpSvf__PLUS__uAgZw==&source=srp
Parallel Wireless,"rf, systems, analysis, test, procedure, design, python, scripting, agile, methodology, signal, equipment, usage, communication, engineering, wireless, communication, telecom, testing, qa, engineer, mobile, mobile, networks, test, procedures",https://www.timesjobs.com/job-detail/senior-radio-qa-engineer-north-israel-397-north-397-project-north-full-time-on-site-parallel-wireless-israel-5-to-8-yrs-jobid-8PnZtzEHHfxzpSvf__PLUS__uAgZw==&source=srp
Hero MotoCorp Ltd,"cybersecurity, implementation, risk, analysis, network, troubleshooting, security, protocol, development, automotive, testing, c, software, testing, algorithms, telematics, python, scripting, linux, software, engineer, technical, skills",https://www.timesjobs.com/job-detail/tcu-cybersecurity-sw-engineer-job-details-hero-motocorp-hero-motocorp-ltd-jaipur-3-to-5-yrs-jobid-bEnf0TxtEV5zpSvf__PLUS__uAgZw==&source=srp
accenture,"amazon, web, services, cloud, computing, concepts, aws, solutions, implementation, devops, practices, scripting, languages, python, microsoft, azure, docker, infrastructure, technology, consulting, technical, skills",https://www.timesjobs.com/job-detail/technology-consulting-practitioner-accenture-pune-noida-greater-noida-3-to-6-yrs-jobid-i__PLUS__kZ2VpXqeRzpSvf__PLUS__uAgZw==&source=srp
recooty,"software, engineering, frontend, frameworks, javascript, /, typescript, automated, testing, restful, apis, html5, bootstrap, git, postgresql, mongodb, github, python, language, proficiency, django, infrastructure",https://www.timesjobs.com/job-detail/associate-software-engineer-full-stack-thai-nationals-recooty-thailand-1-to-4-yrs-jobid-l1plUDpWZAtzpSvf__PLUS__uAgZw==&source=srp
Microsoft India Pvt Ltd,"cloud, services, software, development, coding, languages, problem, solving, team, collaboration, c, artificial, intelligence, security, java, software, engineering, c#, san, python, machine, learning, javascript, infrastructure",https://www.timesjobs.com/job-detail/senior-software-development-engineer-microsoft-india-pvt-ltd-redmond-6-to-8-yrs-jobid-B6QgONExf4FzpSvf__PLUS__uAgZw==&source=srp
Microsoft India Pvt Ltd,"software, development, coding, languages, problem, solving, debugging, skills, collaboration, fundamentals, c, security, java, software, engineer, software, engineering, c#, san, python, operating, system, windows, javascript",https://www.timesjobs.com/job-detail/software-engineer-ii-microsoft-india-pvt-ltd-redmond-2-to-4-yrs-jobid-ZBVts1oW805zpSvf__PLUS__uAgZw==&source=srp
MASTERCARD,"data, analysis, tableau, development, alteryx, proficiency, sql, optimization, data, visualization, algorithms, bi, database, security, hadoop, big, data, python, oracle, natural, language, processing, problem, solving, machine, learning, infrastructure",https://www.timesjobs.com/job-detail/analyst-analytics-metrics-mastercard-pune-2-to-5-yrs-jobid-3OpSWkudbMxzpSvf__PLUS__uAgZw==&source=srp
accenture,"business, requirements, analysis, technical, specifications, design, agile, methodologies, experience, programming, languages, knowledge, database, technologies, familiarity, c#, python, oracle, information, technology, java, software, engineering, mysql, technical, skills",https://www.timesjobs.com/job-detail/application-developer-accenture-mumbai-3-to-6-yrs-jobid-XvI9mURMVfhzpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"real, time, applications, python, programming, c, /, c, coding, computer, graphics, machine, learning, signal, processing, artificial, intelligence, security, cloud, services, natural, language, processing",https://www.timesjobs.com/job-detail/interactive-avatar-intern-2025-nvidia-graphics-pvt-ltd-switzerland-0-to-1-yrs-jobid-yA183WBiNQFzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"cloud, management, technical, troubleshooting, aws, solutions, containerization, knowledge, scripting, languages, fundamentals, artificial, intelligence, sql, security, apache, devops, technology, consulting, github, python, solution, delivery, problem, solving, infrastructure, splunk",https://www.timesjobs.com/job-detail/cloud-solution-delivery-senior-consultant-ntt-data-vertex-software-inc-bengaluru-bangalore-3-to-6-yrs-jobid-osDLSw59qdpzpSvf__PLUS__uAgZw==&source=srp
SAP Ariba,"cloud, computing, expertise, database, design, skills, programming, languages, proficiency, technical, leadership, ability, distributed, systems, knowledge, orchestration, java, python, data, warehousing, docker, security, cloud, services, leadership, skills",https://www.timesjobs.com/job-detail/cloud-development-expert-job-details-sap-sap-ariba-pune-10-to-13-yrs-jobid-XJr2fzDCFexzpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"physical, design, expertise, eda, tools, proficiency, timing, optimization, techniques, clock, distribution, knowledge, scripting, languages, (, perl, /, python, ), physical, verification, signal, integrity, dft, synopsys, circuit, design",https://www.timesjobs.com/job-detail/senior-physical-design-engineer-nvidia-graphics-pvt-ltd-2-to-5-yrs-jobid-pQuEFaRlhZBzpSvf__PLUS__uAgZw==&source=srp
Adobe Systems Ltd,"data, modeling, sql, expertise, etl, processes, data, warehousing, customer, analysis, pig, java, big, data, python, nosql, hive, conference, software, engineer, hadoop, crm, consultant, written, communication",https://www.timesjobs.com/job-detail/data-architect-adobe-systems-ltd-bengaluru-bangalore-5-to-10-yrs-jobid-GQVHwe9__SLASH__8UVzpSvf__PLUS__uAgZw==&source=srp
Adobe Systems Ltd,"data, transformation, sql, development, data, modeling, etl, processes, customer, requirements, pig, java, big, data, python, nosql, hive, conference, software, engineer, hadoop, crm, consultant, written, communication",https://www.timesjobs.com/job-detail/data-architect-adobe-systems-ltd-bengaluru-bangalore-10-to-13-yrs-jobid-3__PLUS__L9s9iB__PLUS__y1zpSvf__PLUS__uAgZw==&source=srp
Ansys Software Pvt Ltd,"data, processing, workflows, python, scripting, knowledge, ai, /, ml, experience, software, development, expertise, communication, skills, software, engineering, satellite, microsoft, azure, machine, learning",https://www.timesjobs.com/job-detail/ansys-ai-application-support-engineer-ii-job-details-ansys-ansys-software-pvt-ltd-pune-3-to-6-yrs-jobid-BR77rB4nmwJzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"devops, practices, oracle, database, management, cloud, infrastructure, performance, tuning, automation, scripting, java, html, python, security, linux, cloud, services, kernel, release, engineering",https://www.timesjobs.com/job-detail/senior-devops-engineer-autonomous-database-oracle-bengaluru-bangalore-hyderabad-secunderabad-6-to-10-yrs-jobid-SxcJf__SLASH__kT3ztzpSvf__PLUS__uAgZw==&source=srp
ansysco anand,"data, processing, workflows, ai, and, machine, learning, software, development, expertise, data, analytics, tools, problem, solving, abilities, python, scripting, software, engineering, satellite, microsoft, azure",https://www.timesjobs.com/job-detail/ansys-ai-application-support-engineer-ii-ansysco-anand-pune-3-to-6-yrs-jobid-I5WnGYW8HzRzpSvf__PLUS__uAgZw==&source=srp
accenture,"program, management, project, execution, stakeholder, management, risk, management, team, leadership, database, python, scripting, api, technical, skills, oracle, cobol, project, delivery, pega",https://www.timesjobs.com/job-detail/program-project-management-lead-accenture-hyderabad-secunderabad-7-to-14-yrs-jobid-FltuRrVLuyZzpSvf__PLUS__uAgZw==&source=srp
Cellworks,"css, jquery, apache, git, xml, html, mysql, api, perl, mongodb, python, linux, operating, system, problem, solving, svn, team, player, javascript, eclipse, php, unix",https://www.timesjobs.com/job-detail/user-interface-development-engineer-cellworks-bengaluru-bangalore-2-to-4-yrs-jobid-2__SLASH__iMqbgjTmxzpSvf__PLUS__uAgZw==&source=srp
Parallel Wireless,"c, /, c, development, unix, /, linux, administration, networking, protocols, python, programming, docker, &, kubernetes, wireless, communication, telecom, api, rest, mobile, cryptography, team, player, mobile, networks, linux, kernel, infrastructure, soap",https://www.timesjobs.com/job-detail/junior-platform-engineer-north-israel-397-north-397-project-north-full-time-on-site-parallel-wireless-israel-2-to-3-yrs-jobid-fbvFZzHWkNxzpSvf__PLUS__uAgZw==&source=srp
Verizon Data Services India Pvt Ltd,"marketing, technology, integration, customer, experience, optimization, api, development, &, scripting, technical, documentation, creation, data, flow, automation, authoring, sql, salesforce, java, python, scripting, data, structures, system, architecture, pega",https://www.timesjobs.com/job-detail/sr-engr-cslt-tech-strategy-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-4-to-7-yrs-jobid-2zO0HL5DWxRzpSvf__PLUS__uAgZw==&source=srp
Microsoft India Pvt Ltd,"data, engineering, compiler, design, python, development, c#, programming, query, optimization, c, bi, storage, compilers, sql, security, java, postgresql, software, engineer, software, engineering, html, javascript, messaging",https://www.timesjobs.com/job-detail/principal-software-engineer-microsoft-india-pvt-ltd-canada-6-to-10-yrs-jobid-8GDjk2NKYNVzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"software, development, cloud, native, systems, high, level, programming, microservice, design, service, metrics, algorithms, security, java, data, structures, python, oracle, infrastructure, software, developer",https://www.timesjobs.com/job-detail/software-developer-2-oracle-bengaluru-bangalore-null-0-to-2-yrs-jobid-MZILsOq__PLUS__8yxzpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"machine, learning, expertise, deep, learning, frameworks, python, programming, skills, cloud, deployment, experience, generative, ai, solutions, c, artificial, intelligence, docker, devops, linux, debugging",https://www.timesjobs.com/job-detail/solutions-architect-generative-ai-specialist-nvidia-graphics-pvt-ltd-canada-5-to-8-yrs-jobid-316Ys__PLUS__7dBRlzpSvf__PLUS__uAgZw==&source=srp
Microsoft India Pvt Ltd,"software, design, c, programming, concurrent, programming, performance, optimization, cross, team, collaboration, debugger, senior, software, engineer, security, java, devops, debugging, software, engineering, html, c#, python, cache, simulator, javascript",https://www.timesjobs.com/job-detail/senior-software-engineer-microsoft-india-pvt-ltd-canada-4-to-8-yrs-jobid-foaXh8WQ4tNzpSvf__PLUS__uAgZw==&source=srp
PETROLEUM DEVELOPMENT OMAN,"cloud, infrastructure, design, automation, solutions, development, infrastructure, as, code, cloud, migration, expertise, cross, functional, team, collaboration, pmp, devops, python, maven, security, git, ant, pdo",https://www.timesjobs.com/job-detail/senior-cloud-engineer-four-years-contract-petroleum-development-oman-muscat-10-to-13-yrs-jobid-PaUOofEvpQtzpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"high, performance, networking, performance, analysis, tools, ai, workload, benchmarking, cuda, programming, knowledge, analytical, problem, solving, algorithms, artificial, intelligence, linux, software, engineering, python, os, computer, graphics, high, performance, computing",https://www.timesjobs.com/job-detail/senior-hpc-and-ai-networking-performance-research-and-analysis-engineer-nvidia-graphics-pvt-ltd-canada-5-to-8-yrs-jobid-YEoy94BVPGhzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"cloud, infrastructure, high, level, programming, microservice, design, distributed, systems, team, collaboration, algorithms, security, java, senior, software, developer, data, structures, cloud, services, python, oracle",https://www.timesjobs.com/job-detail/senior-software-developer-oracle-bengaluru-bangalore-6-to-10-yrs-jobid-J__PLUS__kBLMoHVr9zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"cloud, native, systems, high, level, programming, microservice, design, production, operations, service, metrics, java, software, engineering, data, structures, python, oracle, software, developer, algorithms, storage, security, debugging, infrastructure",https://www.timesjobs.com/job-detail/principal-principal-software-developer-oracle-bengaluru-bangalore-null-8-to-10-yrs-jobid-MUADs0UiFw1zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"java, programming, microservices, architecture, data, modeling, cloud, native, solutions, generative, ai, experience, algorithms, orchestration, artificial, intelligence, security, debugging, data, structures, software, engineering, python, oracle, machine, learning, software, developer",https://www.timesjobs.com/job-detail/software-developer-3-oracle-hyderabad-secunderabad-6-to-10-yrs-jobid-VOHX2RPnlQJzpSvf__PLUS__uAgZw==&source=srp
Nvidia Graphics Pvt Ltd,"test, automation, unix, /, linux, proficiency, python, programming, api, /, ui, testing, failure, analysis, test, cases, matrix, qa, test, development, test, planning, qa, engineer",https://www.timesjobs.com/job-detail/senior-swqa-test-development-engineer-nim-nvidia-graphics-pvt-ltd-china-5-to-8-yrs-jobid-kDFxGBRrx3BzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"java, programming, distributed, systems, generative, ai, microservices, architecture, machine, learning, algorithms, orchestration, security, debugging, data, structures, software, engineering, python, oracle, software, developer",https://www.timesjobs.com/job-detail/software-developer-3-oracle-hyderabad-secunderabad-3-to-5-yrs-jobid-o60QTqSt1yFzpSvf__PLUS__uAgZw==&source=srp
accenture,"data, science, expertise, machine, learning, techniques, cloud, platform, integration, programming, proficiency, data, visualization, skills, bi, sql, git, technical, skills, python, consultant, project, delivery",https://www.timesjobs.com/job-detail/s-c-global-network-ai-cg-s-consultant-data-science-accenture-bengaluru-bangalore-gurgaon-5-to-10-yrs-jobid-3zBOaWT7T7tzpSvf__PLUS__uAgZw==&source=srp
accenture,"data, science, expertise, ai, and, ml, programming, proficiency, cloud, platforms, knowledge, visualization, tools, usage, bi, sql, git, technical, skills, python, machine, learning, consultant, project, delivery",https://www.timesjobs.com/job-detail/s-c-global-network-ai-cg-s-consultant-data-science-accenture-bengaluru-bangalore-gurgaon-5-to-7-yrs-jobid-NHTZt8__PLUS__r8NZzpSvf__PLUS__uAgZw==&source=srp
accenture,"microservices, development, lightweight, architecture, clean, code, practices, unit, testing, version, control, systems, software, requirements, docker, sql, database, java, git, debugging, technical, skills, python, nosql, node.js",https://www.timesjobs.com/job-detail/application-developer-accenture-bengaluru-bangalore-noida-greater-noida-5-to-8-yrs-jobid-uVkcWlZtjENzpSvf__PLUS__uAgZw==&source=srp
accenture,"data, science, machine, learning, python, programming, data, visualization, statistical, analysis, data, analysis, bi, linear, regression, tableau, business, process, data, cleaning, data, scientist, logistic, regression",https://www.timesjobs.com/job-detail/application-developer-accenture-bengaluru-bangalore-3-to-6-yrs-jobid-dBamebgoM51zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"oracle, analytics, cloud, data, analysis, techniques, sql, query, development, machine, learning, integration, data, modeling, expertise, oracle, pl, /, sql, bi, artificial, intelligence, security, python, solution, architect, oracle, sql",https://www.timesjobs.com/job-detail/principal-solutions-architect-oracle-analytics-oracle-bengaluru-bangalore-10-to-13-yrs-jobid-0OeosBIEs__PLUS__BzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"java, programming, python, programming, cloud, architecture, agile, methodologies, ci, /, cd, processes, security, database, j2ee, oracle, javascript, leadership, skills, xml, schema",https://www.timesjobs.com/job-detail/applications-developer-4-oracle-thiruvananthapuram-6-to-10-yrs-jobid-zH00N17lfNJzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"mysql, expertise, cloud, solutions, customer, engagement, technical, training, collaborative, skills, information, technology, java, python, oracle, javascript, database, management, security, postgresql, mongodb, cloud, services, machine, learning, consultant, infrastructure",https://www.timesjobs.com/job-detail/senior-sales-consultant-heatwave-mysql-oracle-mumbai-6-to-10-yrs-jobid-Zy7HS1RVXX5zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"object, oriented, programming, system, design, software, development, web, applications, continuous, integration, senior, software, engineer, java, software, engineering, c#, python, oracle, javascript, security, database, git, crm, sql, database",https://www.timesjobs.com/job-detail/senior-software-engineer-oracle-hyderabad-secunderabad-6-to-10-yrs-jobid-HjM5gsu5wf1zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"backend, development, api, integration, cloud, computing, containerization, tools, microservices, architecture, orchestration, artificial, intelligence, docker, sql, security, java, devops, python, oracle, nosql, infrastructure",https://www.timesjobs.com/job-detail/senior-applications-developer-oracle-hyderabad-secunderabad-3-to-5-yrs-jobid-yQMT3dtNqblzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"software, development, system, architecture, java, programming, rest, api, sql, database, css, security, debugging, software, engineering, html, python, oracle, javascript, spring, boot, software, developer",https://www.timesjobs.com/job-detail/principal-software-developer-oracle-bengaluru-bangalore-6-to-10-yrs-jobid-ISvxVubO2mdzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"oracle, database, expertise, devops, engineering, practices, cloud, infrastructure, management, production, operations, automation, linux, administration, proficiency, java, html, python, security, cloud, services, kernel, release, engineering",https://www.timesjobs.com/job-detail/principal-devops-engineer-autonomous-database-oracle-bengaluru-bangalore-hyderabad-secunderabad-10-to-13-yrs-jobid-BZ9LWZIIa7RzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"object, oriented, programming, web, application, development, database, management, system, design, efficiency, technical, mentorship, senior, software, engineer, java, c#, python, oracle, javascript, security, senior, software, developer, sql, database",https://www.timesjobs.com/job-detail/senior-software-engineer-oracle-hyderabad-secunderabad-6-to-10-yrs-jobid-IU__SLASH__CWixZtX1zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"software, architecture, design, cloud, native, development, pl, /, sql, proficiency, api, development, expertise, devops, practices, experience, python, oracle, javascript, software, developer, software, requirements, security, leadership, skills",https://www.timesjobs.com/job-detail/software-developer-3-oracle-bengaluru-bangalore-null-8-to-10-yrs-jobid-s1odb7LTa4ZzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"python, development, angular, framework, restful, apis, database, management, software, testing, css, rest, api, html, software, engineering, oracle, javascript, sql, docker, security, git, senior, software, developer, debugging, django",https://www.timesjobs.com/job-detail/senior-software-developer-oracle-bengaluru-bangalore-null-3-to-5-yrs-jobid-KzZ3Rhs5no5zpSvf__PLUS__uAgZw==&source=srp
ORACLE,"backend, development, cloud, computing, container, orchestration, service, security, performance, scalability, java, software, engineering, python, oracle, software, developer, storage, docker, machine, learning, infrastructure",https://www.timesjobs.com/job-detail/software-developer-3-oracle-bengaluru-bangalore-null-5-to-10-yrs-jobid-J1t5__SLASH__oG4cn1zpSvf__PLUS__uAgZw==&source=srp
BrowserStack,"software, development, programming, languages, operating, systems, knowledge, problem, solving, agile, methodologies, c, java, linux, rest, python, software, testing, windows, ruby, infrastructure",https://www.timesjobs.com/job-detail/software-engineer-backend-browserstack-delhi-1-to-3-yrs-jobid-CQFZTunwZTlzpSvf__PLUS__uAgZw==&source=srp
BrowserStack,"software, development, programming, languages, operating, systems, knowledge, problem, solving, agile, methodologies, c, java, linux, rest, python, software, testing, windows, ruby, infrastructure",https://www.timesjobs.com/job-detail/software-engineer-backend-browserstack-delhi-1-to-3-yrs-jobid-1uGR6Dy4FtZzpSvf__PLUS__uAgZw==&source=srp
unitedhealth group information services,"cloud, computing, data, security, big, data, technologies, programming, skills, problem, solving, data, warehousing, sql, apache, java, hadoop, python, microsoft, azure, business, environment",https://www.timesjobs.com/job-detail/associate-software-engineer-ii-mern-and-azure-unitedhealth-group-information-services-hyderabad-secunderabad-5-to-9-yrs-jobid-NMRgO1k3r__SLASH__JzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.,"power, automate, development, sql, data, queries, rpa, tools, knowledge, itsm, ticketing, tools, bot, development, experience, python, artificial, intelligence, node.js, java, infrastructure, technology, consulting, .net",https://www.timesjobs.com/job-detail/digital-engineering-senior-engineer-ntt-data-vertex-software-inc-bengaluru-bangalore-1-to-2-yrs-jobid-zcQ3__SLASH__lKoZLlzpSvf__PLUS__uAgZw==&source=srp
Microsoft India Pvt Ltd,"full, stack, development, cloud, integration, strong, coding, skills, system, architecture, team, collaboration, fundamentals, c, sharepoint, security, java, software, engineer, c#, python, javascript",https://www.timesjobs.com/job-detail/software-engineer-microsoft-india-pvt-ltd-hyderabad-secunderabad-1-to-4-yrs-jobid-Cezt42RqfnBzpSvf__PLUS__uAgZw==&source=srp
Infogain Corporation,"bi, &, visualization, power, bi, development, sql, data, analysis, data, quality, standards, data, visualization, tools, data, mining, data, warehousing, artificial, intelligence, software, engineering, telecom, python, business, objects",https://www.timesjobs.com/job-detail/infogain-looking-for-bi-reports-developer-standard-bangalore-india-4-5-6-years-experience-in-bi-visualization-dev-infogain-corporation-bengaluru-bangalore-8-to-11-yrs-jobid-5Q88__SLASH__n2jA3JzpSvf__PLUS__uAgZw==&source=srp
innowave infrastructure ltd,"object, oriented, programming, sql, database, knowledge, version, control, proficiency, agile, methodologies, understanding, strong, analytical, skills, c#, c, python, salesforce, java, git, php, salesforce, developer",https://www.timesjobs.com/job-detail/junior-salesforce-developer-innowave-infrastructure-ltd-0-to-1-yrs-jobid-M92yh__PLUS__udkMhzpSvf__PLUS__uAgZw==&source=srp
accenture,"python, programming, software, development, application, design, team, collaboration, debugging, skills, css, docker, database, git, postgresql, web, development, mysql, html, technical, skills, javascript, django",https://www.timesjobs.com/job-detail/application-developer-accenture-hyderabad-secunderabad-5-to-8-yrs-jobid-6U__SLASH__bnlv2Yt9zpSvf__PLUS__uAgZw==&source=srp
accenture,"python, programming, data, engineering, etl, processes, apache, airflow, data, quality, assurance, bi, linear, regression, storage, data, visualization, logistic, regression, tableau, data, cleaning, infrastructure, statistical, analysis",https://www.timesjobs.com/job-detail/data-engineer-accenture-bengaluru-bangalore-5-to-8-yrs-jobid-pQ5VlLoyZy1zpSvf__PLUS__uAgZw==&source=srp
accenture,"snowflake, data, warehouse, sql, database, concepts, application, development, java, web, development, frameworks, cloud, platforms, (, aws, ), python, spring, django, devops, technical, skills",https://www.timesjobs.com/job-detail/application-designer-accenture-hyderabad-secunderabad-3-to-6-yrs-jobid-OdQMIRw8lDxzpSvf__PLUS__uAgZw==&source=srp
accenture,"snowflake, data, warehouse, data, visualization, tools, statistical, analysis, machine, learning, algorithms, python, programming, business, requirements, bi, linear, regression, tableau, business, process, data, cleaning, debugging, logistic, regression",https://www.timesjobs.com/job-detail/application-developer-accenture-chennai-kolkata-5-to-8-yrs-jobid-__PLUS__YjpWQjpni9zpSvf__PLUS__uAgZw==&source=srp
accenture,"python, programming, machine, learning, algorithms, statistical, analysis, data, visualization, tools, data, munging, techniques, image, processing, bi, linear, regression, tableau, data, cleaning, logistic, regression",https://www.timesjobs.com/job-detail/ai-ml-engineer-accenture-pune-3-to-6-yrs-jobid-LfuQ0PVIngFzpSvf__PLUS__uAgZw==&source=srp
godrej infotech ltd,"power, platform, solutions, data, warehouse, development, azure, cloud, services, sql, server, integration, python, programming, ssas, bi, business, intelligence, integration, services, etl, ssis, sql, database",https://www.timesjobs.com/job-detail/senior-data-warehousing-consultant-godrej-infotech-ltd-mumbai-5-to-8-yrs-jobid-Fmx3VHcvR3FzpSvf__PLUS__uAgZw==&source=srp
cvent india pvt ltd,"full, stack, development, javascript, /, typescript, expertise, python, programming, ci, /, cd, pipeline, management, cloud, computing, familiarity, spring, security, couchbase, software, engineer, web, development, api, machine, learning, nosql, infrastructure",https://www.timesjobs.com/job-detail/lead-software-engineer-cvent-india-pvt-ltd-gurgaon-7-to-9-yrs-jobid-17w__PLUS__xlGl7pdzpSvf__PLUS__uAgZw==&source=srp
cvent india pvt ltd,"identity, automation, expertise, python, programming, skills, aws, iam, knowledge, okta, administration, skills, identity, federation, experience, access, management, javascript, security, infrastructure, api",https://www.timesjobs.com/job-detail/identity-automation-engineer-cvent-india-pvt-ltd-gurgaon-5-to-8-yrs-jobid-pjaPOzyNND5zpSvf__PLUS__uAgZw==&source=srp
blue yonder,"supply, chain, planning, business, workflow, design, cross, functional, collaboration, sql, and, python, knowledge, presales, support, expertise, security, use, cases, functional, requirements, business, process",https://www.timesjobs.com/job-detail/business-consultant-supply-chain-planning-sales-support-blue-yonder-bengaluru-bangalore-2-to-3-yrs-jobid-dyjZrKatrNVzpSvf__PLUS__uAgZw==&source=srp
Airbnb India Pvt. Ltd.,"data, engineering, expertise, scalable, systems, design, data, processing, skills, sql, query, proficiency, strong, collaboration, skills, java, postgresql, mysql, crm, san, python, machine, learning",https://www.timesjobs.com/job-detail/staff-data-engineer-biztech-airbnb-india-pvt-ltd-bengaluru-bangalore-6-to-9-yrs-jobid-F8XH2NSSYyRzpSvf__PLUS__uAgZw==&source=srp
accenture,"python, proficiency, sql, expertise, data, engineering, tools, cloud, platforms, experience, etl, concepts, knowledge, data, warehousing, storage, apache, git, hadoop, big, data, technical, skills, machine, learning, infrastructure",https://www.timesjobs.com/job-detail/s-c-global-network-ai-cg-s-data-engineer-analyst-accenture-bengaluru-bangalore-gurgaon-3-to-5-yrs-jobid-k6__PLUS__zQ__PLUS__GUq01zpSvf__PLUS__uAgZw==&source=srp
accenture,"python, proficiency, sql, expertise, data, engineering, tools, cloud, platforms, (, aws, /, azure, /, gcp, ), etl, processes, knowledge, data, warehousing, storage, apache, git, hadoop, big, data, technical, skills, machine, learning, infrastructure",https://www.timesjobs.com/job-detail/s-c-global-network-ai-cg-s-data-engineer-analyst-accenture-bengaluru-bangalore-gurgaon-3-to-5-yrs-jobid-RNaZ7No7SSBzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"database, cloud, services, production, operations, automation, and, monitoring, oracle, database, technology, configuration, management, java, devops, html, python, security, linux, kernel, infrastructure, release, engineering",https://www.timesjobs.com/job-detail/site-reliability-developer-4-oracle-bengaluru-bangalore-1-to-4-yrs-jobid-cpt7t94nU5xzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"business, intelligence, data, warehousing, sql, programming, cloud, applications, supply, chain, management, java, software, engineering, python, oracle, software, developer, bi, security, debugging, business, applications",https://www.timesjobs.com/job-detail/software-developer-3-oracle-bengaluru-bangalore-hyderabad-secunderabad-4-to-5-yrs-jobid-fjsSrecOXWRzpSvf__PLUS__uAgZw==&source=srp
